diseaseId:ID,name,:LABEL
umls:C0000737,Abdominal Pain,Disease
umls:C0000744,Abetalipoproteinemia,Disease
umls:C0000768,Congenital Abnormalities,Disease
umls:C0000771,Abnormalities; Drug-Induced,Disease
umls:C0000772,Abnormalities; Multiple,Disease
umls:C0000786,Abortion; Spontaneous,Disease
umls:C0000809,Abortion; Habitual,Disease
umls:C0000821,Abortion; Threatened,Disease
umls:C0000832,Abruptio Placentae,Disease
umls:C0001080,Achondroplasia,Disease
umls:C0001122,Acidosis,Disease
umls:C0001125,Acidosis; Lactic,Disease
umls:C0001126,Acidosis; Renal Tubular,Disease
umls:C0001175,Acquired Immunodeficiency Syndrome,Disease
umls:C0001193,apert syndrome,Disease
umls:C0001197,Acrodermatitis,Disease
umls:C0001206,Acromegaly,Disease
umls:C0001231,ACTH Syndrome; Ectopic,Disease
umls:C0001349,Acute-Phase Reaction,Disease
umls:C0001364,Massive Hepatic Necrosis,Disease
umls:C0001403,Addison Disease,Disease
umls:C0001418,Adenocarcinoma,Disease
umls:C0001430,Adenoma,Disease
umls:C0001546,Adjustment Disorders,Disease
umls:C0001614,Adrenal Cortex Diseases,Disease
umls:C0001621,Adrenal Gland Diseases,Disease
umls:C0001623,Adrenal Insufficiency,Disease
umls:C0001624,Adrenal Gland Neoplasms,Disease
umls:C0001627,Adrenal Hyperplasia; Congenital,Disease
umls:C0001733,Afibrinogenemia,Disease
umls:C0001768,Agammaglobulinemia,Disease
umls:C0001815,Primary Myelofibrosis,Disease
umls:C0001824,Agranulocytosis,Disease
umls:C0001828,Agricultural Workers' Diseases,Disease
umls:C0001883,Airway Obstruction,Disease
umls:C0001925,Albuminuria,Disease
umls:C0001969,Alcoholic Intoxication,Disease
umls:C0001973,Alcoholism,Disease
umls:C0002063,Alkalosis,Disease
umls:C0002066,Alkaptonuria,Disease
umls:C0002170,Alopecia,Disease
umls:C0002171,Alopecia Areata,Disease
umls:C0002312,alpha-Thalassemia,Disease
umls:C0002382,Alveolar Bone Loss,Disease
umls:C0002390,Alveolitis; Extrinsic Allergic,Disease
umls:C0002395,Alzheimer Disease,Disease
umls:C0002448,Ameloblastoma,Disease
umls:C0002452,Amelogenesis Imperfecta,Disease
umls:C0002453,Amenorrhea,Disease
