:START_ID,score,associationType,:END_ID,:TYPE
ATP7B,0.972606830040202,AlteredExpression; Biomarker; GeneticVariation,umls:C0019202,AFFECTS
MC4R,0.94,Biomarker; GeneticVariation,umls:C0028754,AFFECTS
IRS1,0.907216438728992,Biomarker; GeneticVariation,umls:C0011860,AFFECTS
CFTR,0.9,AlteredExpression; Biomarker; GeneticVariation,umls:C0010674,AFFECTS
MECP2,0.9,AlteredExpression; Biomarker; GeneticVariation; PostTranslationalModification,umls:C0035372,AFFECTS
PRNP,0.884360622875725,AlteredExpression; Biomarker; GeneticVariation,umls:C0022336,AFFECTS
FMR1,0.880361233035669,AlteredExpression; Biomarker; GeneticVariation,umls:C0016667,AFFECTS
KIT,0.879390147828908,AlteredExpression; Biomarker; GeneticVariation,umls:C0238198,AFFECTS
MEFV,0.870270924776752,AlteredExpression; Biomarker; GeneticVariation,umls:C0031069,AFFECTS
SCN5A,0.869105313991926,Biomarker; GeneticVariation,umls:C1142166,AFFECTS
DMD,0.865413063630181,AlteredExpression; Biomarker; GeneticVariation,umls:C0013264,AFFECTS
FBN1,0.858256351526757,AlteredExpression; Biomarker; GeneticVariation,umls:C0024796,AFFECTS
AVP,0.855107808278243,Biomarker; GeneticVariation,umls:C0687720,AFFECTS
APP,0.852707275405662,AlteredExpression; Biomarker; GeneticVariation; PostTranslationalModification,umls:C0002395,AFFECTS
PKHD1,0.850728213743528,AlteredExpression; Biomarker; GeneticVariation,umls:C0085548,AFFECTS
PTPN11,0.849717283052145,AlteredExpression; Biomarker; GeneticVariation,umls:C0028326,AFFECTS
ATM,0.844353946410672,AlteredExpression; Biomarker; GeneticVariation,umls:C0004135,AFFECTS
MEN1,0.843737417774526,AlteredExpression; Biomarker; GeneticVariation,umls:C0025267,AFFECTS
ASPA,0.839552918162834,Biomarker; GeneticVariation,umls:C0206307,AFFECTS
OTC,0.838731368518667,Biomarker; GeneticVariation; Therapeutic,umls:C0268542,AFFECTS
ARSB,0.837235850643486,Biomarker; GeneticVariation,umls:C0026709,AFFECTS
KRT1,0.833012246158195,Biomarker; GeneticVariation,umls:C0079153,AFFECTS
RYR1,0.831580103731914,Biomarker; GeneticVariation,umls:C0024591,AFFECTS
LYST,0.827342154756322,Biomarker; GeneticVariation,umls:C0007965,AFFECTS
NF1,0.826153871652525,AlteredExpression; Biomarker; GeneticVariation,umls:C0027831,AFFECTS
STK11,0.821637865423511,Biomarker; GeneticVariation,umls:C0031269,AFFECTS
GLA,0.819539194854142,AlteredExpression; Biomarker; GeneticVariation,umls:C0002986,AFFECTS
AR,0.817503914219146,AlteredExpression; Biomarker; GeneticVariation,umls:C0039585,AFFECTS
VHL,0.816103697178577,AlteredExpression; Biomarker; GeneticVariation,umls:C0019562,AFFECTS
ABCC6,0.812244353370677,AlteredExpression; Biomarker; GeneticVariation,umls:C0033847,AFFECTS
WAS,0.805889612556295,AlteredExpression; Biomarker; GeneticVariation; PostTranslationalModification,umls:C0043194,AFFECTS
F9,0.804609242011148,AlteredExpression; Biomarker; GeneticVariation,umls:C0008533,AFFECTS
GFAP,0.802117160946736,AlteredExpression; Biomarker; GeneticVariation,umls:C0270726,AFFECTS
MAPT,0.800853607674127,Biomarker; GeneticVariation,umls:C0338451,AFFECTS
OPA1,0.800375511203846,Biomarker; GeneticVariation,umls:C0338508,AFFECTS
PTEN,0.799169633989802,AlteredExpression; Biomarker; GeneticVariation,umls:C0018553,AFFECTS
ARSA,0.79323610491032,AlteredExpression; Biomarker; GeneticVariation,umls:C0023522,AFFECTS
HMBS,0.790294100118557,AlteredExpression; Biomarker; GeneticVariation,umls:C0162565,AFFECTS
LMNA,0.783157454907618,AlteredExpression; Biomarker; GeneticVariation; PostTranslationalModification,umls:C0033300,AFFECTS
WFS1,0.781907580362788,Biomarker; GeneticVariation,umls:C0043207,AFFECTS
SOD1,0.78,Biomarker; GeneticVariation,umls:C1862939,AFFECTS
FGFR3,0.779578366049865,Biomarker; GeneticVariation,umls:C0001080,AFFECTS
GAA,0.775649924390883,AlteredExpression; Biomarker; GeneticVariation; Therapeutic,umls:C0017921,AFFECTS
EXT1,0.774681281870921,Biomarker; GeneticVariation,umls:C0015306,AFFECTS
PLP1,0.773917660358981,Biomarker; GeneticVariation,umls:C0205711,AFFECTS
WRN,0.773136244499783,AlteredExpression; Biomarker; GeneticVariation,umls:C0043119,AFFECTS
ABCD1,0.772500137508513,Biomarker; GeneticVariation,umls:C0162309,AFFECTS
HTT,0.772303913555614,AlteredExpression; Biomarker; GeneticVariation,umls:C0020179,AFFECTS
HPRT1,0.770848141046549,AlteredExpression; Biomarker; GeneticVariation,umls:C0023374,AFFECTS
PTCH1,0.77020313688165,Biomarker; GeneticVariation,umls:C0004779,AFFECTS
DHCR7,0.768883187411018,Biomarker; GeneticVariation,umls:C0175694,AFFECTS
FECH,0.768863609055893,Biomarker; GeneticVariation; Therapeutic,umls:C0162568,AFFECTS
SLC3A1,0.76759269054386,Biomarker; GeneticVariation,umls:C0010691,AFFECTS
SLC7A9,0.767534762411632,Biomarker; GeneticVariation,umls:C0010691,AFFECTS
BLM,0.764885647900953,AlteredExpression; Biomarker; GeneticVariation,umls:C0005859,AFFECTS
PAX6,0.764735793942572,Biomarker; GeneticVariation,umls:C0003076,AFFECTS
RYR1,0.764072995430415,Biomarker; GeneticVariation,umls:C0751951,AFFECTS
ATP7A,0.763937072273475,AlteredExpression; Biomarker; GeneticVariation,umls:C0022716,AFFECTS
RUNX2,0.763477022224114,AlteredExpression; Biomarker; GeneticVariation,umls:C0008928,AFFECTS
PRNP,0.76055232324225,Biomarker; GeneticVariation,umls:C0017495,AFFECTS
ABCA1,0.758773300796976,Biomarker; GeneticVariation,umls:C0039292,AFFECTS
SLC12A3,0.757954023698035,Biomarker; GeneticVariation,umls:C0268450,AFFECTS
PTPN11,0.756721943500464,Biomarker; GeneticVariation,umls:C0175704,AFFECTS
IDS,0.755634683633461,Biomarker; GeneticVariation; PostTranslationalModification,umls:C0026705,AFFECTS
PMP22,0.755154566691615,Biomarker; GeneticVariation,umls:C0393814,AFFECTS
SLC26A4,0.754734650427222,Biomarker; GeneticVariation,umls:C0271829,AFFECTS
SQSTM1,0.753906476154651,Biomarker; GeneticVariation,umls:C0029401,AFFECTS
RET,0.752594128387143,Biomarker; GeneticVariation; PostTranslationalModification,umls:C0025269,AFFECTS
GHR,0.751353151015943,Biomarker; GeneticVariation,umls:C0271568,AFFECTS
STAT3,0.750962198817663,Biomarker; GeneticVariation,umls:C0022398,AFFECTS
HEXA,0.750756689272281,Biomarker; GeneticVariation,umls:C0039373,AFFECTS
RPS6KA3,0.750748280636012,AlteredExpression; Biomarker; GeneticVariation,umls:C0265252,AFFECTS
ATP2A2,0.750406847933691,Biomarker; GeneticVariation,umls:C0022595,AFFECTS
LMX1B,0.750103276471113,Biomarker; GeneticVariation,umls:C0027341,AFFECTS
BTK,0.750051484429929,Biomarker; GeneticVariation,umls:C0221026,AFFECTS
VWF,0.74953350624834,Biomarker; GeneticVariation,umls:C1264039,AFFECTS
NIPBL,0.749076217281564,Biomarker; GeneticVariation,umls:C0270972,AFFECTS
IKBKAP,0.748225703571283,Biomarker; GeneticVariation,umls:C0013364,AFFECTS
CASR,0.748115983397871,Biomarker; GeneticVariation,umls:C0342637,AFFECTS
LPL,0.747754483803066,Biomarker; GeneticVariation,umls:C0023817,AFFECTS
EPM2A,0.747149613423136,AlteredExpression; Biomarker; GeneticVariation,umls:C0751783,AFFECTS
SMAD4,0.747129057993291,Biomarker; GeneticVariation,umls:C0345893,AFFECTS
CREBBP,0.746553640216835,Biomarker; GeneticVariation,umls:C0035934,AFFECTS
CHM,0.745937600118049,Biomarker; GeneticVariation,umls:C0008525,AFFECTS
CHD7,0.745847946837122,Biomarker; GeneticVariation,umls:C0265354,AFFECTS
SNCA,0.744227675523858,Biomarker; GeneticVariation,umls:C0752347,AFFECTS
KCNQ1,0.743718594515898,Biomarker; GeneticVariation,umls:C0022387,AFFECTS
EYA1,0.7436695635573,Biomarker; GeneticVariation,umls:C0265234,AFFECTS
GALC,0.742700432499978,Biomarker; GeneticVariation,umls:C0023521,AFFECTS
LAMP2,0.741968536136738,AlteredExpression; Biomarker; GeneticVariation,umls:C0878677,AFFECTS
RYR2,0.741546347327119,Biomarker; GeneticVariation,umls:C1631597,AFFECTS
TNFRSF1A,0.741360904674222,Biomarker; GeneticVariation,umls:C1275126,AFFECTS
COMP,0.741360904674222,Biomarker; GeneticVariation,umls:C0410538,AFFECTS
PTPN11,0.740657972377095,Biomarker; GeneticVariation,umls:C0349639,AFFECTS
TCOF1,0.740041932278309,Biomarker; GeneticVariation,umls:C0242387,AFFECTS
ABCC2,0.739984004146082,Biomarker; GeneticVariation,umls:C0022350,AFFECTS
HEXB,0.7397784946007,Biomarker; GeneticVariation,umls:C0036161,AFFECTS
INSL3,0.73952346555936,Biomarker; GeneticVariation,umls:C0010417,AFFECTS
ACADM,0.739288991947865,Biomarker; GeneticVariation,umls:C0220710,AFFECTS
SGCE,0.738711301626182,Biomarker; GeneticVariation,umls:C1834570,AFFECTS
