time,id,hex,flight,squawk,category,lon,lat,altitude,speed,vert_rate
1487747090000.0,131364_0,131364,MAC115,1000.0,A0,2.9047099999999997,50.26191466666666,23966.666666666668,424.0,-1344.0
1487747100000.0,131364_0,131364,MAC115,1000.0,A0,2.9250616666666667,50.275101,23745.833333333332,424.0,-1344.0
1487747110000.0,131364_0,131364,MAC115,1000.0,A0,2.9482392,50.290630799999995,23545.0,421.6,-1292.8
1487747120000.0,131364_0,131364,MAC115,1000.0,A0,2.962189,50.299942,23330.0,419.4,-1228.8
1487747130000.0,131364_0,131364,MAC115,1000.0,A0,2.9715489999999996,50.306098999999996,23112.5,418.25,-1240.0
1487747140000.0,131364_0,131364,MAC115,1000.0,A0,3.0089286666666664,50.330658,22929.166666666668,416.8333333333333,-1280.0
1487747150000.0,131364_0,131364,MAC115,1000.0,A0,3.033333333333333,50.346582666666656,22712.5,416.0,-1226.6666666666667
1487747160000.0,131364_0,131364,MAC115,1000.0,A0,3.051827857142857,50.358586571428575,22492.85714285714,416.2857142857143,-1298.2857142857142
1487747170000.0,131364_0,131364,MAC115,1000.0,A0,3.0673175,50.3686525,22279.166666666668,417.0,-1344.0
1487747180000.0,131364_0,131364,MAC115,1000.0,A0,3.093068166666667,50.385364333333335,22091.666666666668,417.0,-1098.6666666666667
1487747190000.0,131364_0,131364,MAC115,1000.0,A0,3.1175164,50.401235,22015.0,417.4,-486.4
1487747200000.0,131364_0,131364,MAC115,1000.0,A0,3.1443738000000003,50.418639999999996,22000.0,418.6,-153.6
1487747210000.0,131364_0,131364,MAC115,1000.0,A0,3.162121166666667,50.43014,22000.0,420.0,-42.666666666666664
1487747220000.0,131364_0,131364,MAC115,1000.0,A0,3.1847045,50.444773999999995,22000.0,420.0,-32.0
1487747230000.0,131364_0,131364,MAC115,1000.0,A0,3.2054782499999996,50.4582305,22000.0,420.0,0.0
1487747240000.0,131364_0,131364,MAC115,1000.0,A0,3.2271822,50.4722588,22000.0,418.0,12.8
1487747250000.0,131364_0,131364,MAC115,1000.0,A0,3.2453315,50.484011249999995,22000.0,418.25,0.0
1487747260000.0,131364_0,131364,MAC115,1000.0,A0,3.26696675,50.4979705,22000.0,418.25,0.0
1487747270000.0,131364_0,131364,MAC115,1000.0,A0,3.296344,50.51693666666667,22000.0,417.0,0.0
1487747280000.0,131364_0,131364,MAC115,1000.0,A0,3.3107464999999996,50.52619375,22000.0,417.0,0.0
1487747290000.0,131364_0,131364,MAC115,1000.0,A0,3.3323907999999998,50.5401332,22000.0,416.0,0.0
1487747300000.0,131364_0,131364,MAC115,1000.0,A0,3.3538728888888887,50.553945666666664,22000.0,416.0,-35.55555555555556
1487747310000.0,131364_0,131364,MAC115,1000.0,A0,3.375237333333333,50.56769716666667,22000.0,416.0,-10.666666666666666
1487747320000.0,131364_0,131364,MAC115,1000.0,A0,3.397051714285714,50.58174057142857,22000.0,416.0,0.0
1487747330000.0,131364_0,131364,MAC115,1000.0,A0,3.418873666666667,50.59574999999999,22000.0,416.5,-32.0
