geneId:ID,name,:LABEL
0610010K14Rik,0610010K14Rik,Gene
1110037F02Rik,1110037F02Rik,Gene
1200014J11Rik,1200014J11Rik,Gene
128up,128up,Gene
14-3-3epsilon,14-3-3epsilon,Gene
14-3-3zeta,14-3-3zeta,Gene
140up,140up,Gene
15S_RRNA,15S_RRNA,Gene
1700006A11Rik,1700006A11Rik,Gene
1700007B14Rik,1700007B14Rik,Gene
1700019N19Rik,1700019N19Rik,Gene
1700021F07Rik,1700021F07Rik,Gene
1810009J06Rik,1810009J06Rik,Gene
1810055G02Rik,1810055G02Rik,Gene
18w,18w,Gene
2-Cys Prx B,2-Cys Prx B,Gene
2010300C02Rik,2010300C02Rik,Gene
21S_RRNA,21S_RRNA,Gene
2210010C04Rik,2210010C04Rik,Gene
2210018M11Rik,2210018M11Rik,Gene
2255.m00020,2255.m00020,Gene
2310003H01Rik,2310003H01Rik,Gene
2310022A10Rik,2310022A10Rik,Gene
2310035C23Rik,2310035C23Rik,Gene
2410016O06Rik,2410016O06Rik,Gene
2410089E03Rik,2410089E03Rik,Gene
2510003E04Rik,2510003E04Rik,Gene
26-29-p,26-29-p,Gene
2610020H08Rik,2610020H08Rik,Gene
2610301B20Rik,2610301B20Rik,Gene
2700060E02Rik,2700060E02Rik,Gene
2810474O19Rik,2810474O19Rik,Gene
2mit,2mit,Gene
312,312,Gene
3632413A11Rik,3632413A11Rik,Gene
3BETAHSD/D1,3BETAHSD/D1,Gene
3D7Surf13.1,3D7Surf13.1,Gene
3D7Surf8.2,3D7Surf8.2,Gene
4732456N10Rik,4732456N10Rik,Gene
4930503B20Rik,4930503B20Rik,Gene
4932438A13Rik,4932438A13Rik,Gene
4E-T,4E-T,Gene
4EHP,4EHP,Gene
5-HT2A,5-HT2A,Gene
5430435G22Rik,5430435G22Rik,Gene
5830415F09Rik,5830415F09Rik,Gene
5PTASE11,5PTASE11,Gene
5PTASE13,5PTASE13,Gene
5PTASE2,5PTASE2,Gene
7B2,7B2,Gene
9030624J02Rik,9030624J02Rik,Gene
9130011E15Rik,9130011E15Rik,Gene
A16,A16,Gene
A1BG,A1BG,Gene
A1CF,A1CF,Gene
A230046K03Rik,A230046K03Rik,Gene
A2M,A2M,Gene
A2ML1,A2ML1,Gene
A2bp1,A2bp1,Gene
A4GALT,A4GALT,Gene
A4GNT,A4GNT,Gene
A830010M20Rik,A830010M20Rik,Gene
AAAS,AAAS,Gene
AAC1,AAC1,Gene
AAC2,AAC2,Gene
AAC3,AAC3,Gene
AACS,AACS,Gene
AAD10,AAD10,Gene
AAD14,AAD14,Gene
AAD15,AAD15,Gene
AAD16,AAD16,Gene
AAD3,AAD3,Gene
AAD4,AAD4,Gene
AAD6,AAD6,Gene
AAED1,AAED1,Gene
AAGAB,AAGAB,Gene
AAH1,AAH1,Gene
AAK1,AAK1,Gene
AAMDC,AAMDC,Gene
AAMP,AAMP,Gene
AANAT,AANAT,Gene
AAP1,AAP1,Gene
AAP3,AAP3,Gene
AAP4,AAP4,Gene
AAP5,AAP5,Gene
AAP6,AAP6,Gene
AAP7,AAP7,Gene
AAP8,AAP8,Gene
AAPT1,AAPT1,Gene
AAPT2,AAPT2,Gene
AAR2,AAR2,Gene
AARS,AARS,Gene
AARS2,AARS2,Gene
AARSD1,AARSD1,Gene
AASDH,AASDH,Gene
AASDHPPT,AASDHPPT,Gene
AASS,AASS,Gene
AAT1,AAT1,Gene
AAT2,AAT2,Gene
AAT22,AAT22,Gene
AATF,AATF,Gene
AATK,AATK,Gene
ABA2,ABA2,Gene
ABA4,ABA4,Gene
ABAP1,ABAP1,Gene
ABAT,ABAT,Gene
ABC1,ABC1,Gene
ABC4,ABC4,Gene
ABCA1,ABCA1,Gene
ABCA10,ABCA10,Gene
ABCA13,ABCA13,Gene
ABCA2,ABCA2,Gene
ABCA3,ABCA3,Gene
ABCA4,ABCA4,Gene
ABCA5,ABCA5,Gene
ABCA6,ABCA6,Gene
ABCA7,ABCA7,Gene
ABCB1,ABCB1,Gene
ABCB10,ABCB10,Gene
ABCB11,ABCB11,Gene
ABCB19,ABCB19,Gene
ABCB4,ABCB4,Gene
ABCB5,ABCB5,Gene
ABCB6,ABCB6,Gene
ABCB7,ABCB7,Gene
ABCB8,ABCB8,Gene
ABCB9,ABCB9,Gene
ABCC1,ABCC1,Gene
ABCC10,ABCC10,Gene
ABCC12,ABCC12,Gene
ABCC13,ABCC13,Gene
ABCC2,ABCC2,Gene
ABCC3,ABCC3,Gene
ABCC4,ABCC4,Gene
ABCC5,ABCC5,Gene
ABCC6,ABCC6,Gene
ABCC8,ABCC8,Gene
ABCC9,ABCC9,Gene
ABCD1,ABCD1,Gene
ABCD2,ABCD2,Gene
ABCD3,ABCD3,Gene
ABCD4,ABCD4,Gene
ABCE1,ABCE1,Gene
ABCF1,ABCF1,Gene
ABCF2,ABCF2,Gene
ABCF3,ABCF3,Gene
ABCG1,ABCG1,Gene
ABCG14,ABCG14,Gene
ABCG2,ABCG2,Gene
ABCG4,ABCG4,Gene
ABCG5,ABCG5,Gene
ABCG8,ABCG8,Gene
ABCk2,ABCk2,Gene
ABD1,ABD1,Gene
ABF1,ABF1,Gene
ABF2,ABF2,Gene
ABF3,ABF3,Gene
ABF4,ABF4,Gene
ABH1,ABH1,Gene
ABHD1,ABHD1,Gene
ABHD10,ABHD10,Gene
ABHD11,ABHD11,Gene
ABHD12,ABHD12,Gene
ABHD12B,ABHD12B,Gene
ABHD14A,ABHD14A,Gene
ABHD14B,ABHD14B,Gene
ABHD16A,ABHD16A,Gene
ABHD17A,ABHD17A,Gene
ABHD17B,ABHD17B,Gene
ABHD3,ABHD3,Gene
ABHD4,ABHD4,Gene
ABHD5,ABHD5,Gene
ABHD6,ABHD6,Gene
ABI1,ABI1,Gene
ABI2,ABI2,Gene
ABI3,ABI3,Gene
ABI3BP,ABI3BP,Gene
ABI4,ABI4,Gene
ABI5,ABI5,Gene
ABIL1,ABIL1,Gene
ABIL2,ABIL2,Gene
ABIL4,ABIL4,Gene
